LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,PS,T2M,WS50M,ALLSKY_SFC_SW_DWN
44.25301,38.83041,1990,01,01,    0.33,    4.14,  100.35,    2.75,    6.70,              1.03
44.25301,38.83041,1990,01,02,    0.44,    4.12,  100.53,    3.94,    3.18,              1.18
44.25301,38.83041,1990,01,03,    0.69,    3.80,  100.07,    2.10,    3.81,              1.67
44.25301,38.83041,1990,01,04,    1.58,    3.02,  100.41,   -1.14,    7.81,              1.12
44.25301,38.83041,1990,01,05,    0.04,    1.97,  101.26,   -6.53,   13.14,              1.73
44.25301,38.83041,1990,01,06,    0.29,    2.28,  101.55,   -4.68,    6.00,              1.74
44.25301,38.83041,1990,01,07,    5.86,    3.50,  101.35,    0.75,    4.85,              0.84
44.25301,38.83041,1990,01,08,    3.31,    3.21,  101.62,   -0.46,    6.24,              1.87
44.25301,38.83041,1990,01,09,    0.68,    3.19,  101.62,    0.51,    4.50,              1.38
44.25301,38.83041,1990,01,10,    5.82,    4.15,  101.04,    3.03,    6.38,              0.95
44.25301,38.83041,1990,01,11,    1.47,    3.82,  101.37,    2.38,    6.50,              1.19
44.25301,38.83041,1990,01,12,    4.39,    4.54,  100.97,    4.35,    8.96,              0.71
44.25301,38.83041,1990,01,13,    2.05,    4.24,  101.13,    3.79,    5.16,              1.32
44.25301,38.83041,1990,01,14,    1.15,    4.37,  100.83,    4.28,    5.63,              0.94
44.25301,38.83041,1990,01,15,    8.31,    4.02,  100.66,    2.36,    5.22,              0.99
44.25301,38.83041,1990,01,16,    1.05,    3.51,  100.84,    1.12,    3.25,              1.24
44.25301,38.83041,1990,01,17,   22.40,    4.65,   99.70,    3.79,    8.88,              0.60
44.25301,38.83041,1990,01,18,    0.95,    4.40,  100.62,    4.02,    5.71,              0.84
44.25301,38.83041,1990,01,19,    0.22,    5.20,  100.50,    5.99,    7.42,              1.42
44.25301,38.83041,1990,01,20,    3.14,    5.77,  100.48,    6.68,    6.51,              0.71
44.25301,38.83041,1990,01,21,    0.50,    4.30,  100.93,    3.49,    3.43,              1.21
