LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS50M,TS,PS,PRECTOT,QV2M
44.25251,38.83211,2000,01,01,              0.48,    5.24,    7.83,  100.03,    0.14,    5.83
44.25251,38.83211,2000,01,02,              0.59,    5.74,    6.96,  100.51,    2.67,    4.85
44.25251,38.83211,2000,01,03,              0.83,    5.24,    4.25,  100.53,   10.03,    3.63
44.25251,38.83211,2000,01,04,              0.82,    8.84,    3.43,  100.28,    0.55,    3.38
44.25251,38.83211,2000,01,05,              1.04,    5.53,    4.01,  100.12,    0.52,    3.78
44.25251,38.83211,2000,01,06,              0.59,    2.43,    4.85,  100.36,    0.43,    4.09
44.25251,38.83211,2000,01,07,              1.38,    2.83,    4.63,  100.85,    0.06,    3.91
44.25251,38.83211,2000,01,08,              1.72,    5.15,    4.83,  100.92,    0.01,    4.04
44.25251,38.83211,2000,01,09,              1.74,    5.81,    4.68,  100.82,    0.01,    3.93
44.25251,38.83211,2000,01,10,              1.56,    3.87,    4.43,  100.94,    0.04,    3.92
44.25251,38.83211,2000,01,11,              0.86,    3.93,    4.16,  101.18,    1.77,    3.97
44.25251,38.83211,2000,01,12,              0.70,    2.95,    4.42,  101.36,    6.32,    3.98
44.25251,38.83211,2000,01,13,              1.58,    4.18,    4.51,  101.60,    1.19,    3.97
44.25251,38.83211,2000,01,14,              1.12,    4.67,    4.31,  101.61,    0.50,    3.87
44.25251,38.83211,2000,01,15,              0.85,    3.95,    4.01,  101.28,    1.36,    3.67
44.25251,38.83211,2000,01,16,              0.75,    2.42,    3.17,  100.92,    0.77,    3.45
44.25251,38.83211,2000,01,17,              0.87,    7.57,    4.34,   99.91,    7.69,    3.96
44.25251,38.83211,2000,01,18,              0.51,   12.07,    5.74,   98.09,   18.24,    4.71
44.25251,38.83211,2000,01,19,              1.21,    8.09,    5.08,   98.41,    9.52,    4.32
44.25251,38.83211,2000,01,20,              1.94,    4.94,    3.85,   99.02,    3.24,    3.55
44.25251,38.83211,2000,01,21,              1.34,    9.70,    3.15,   99.46,    2.16,    3.14
44.25251,38.83211,2000,01,22,              0.51,   10.25,    3.04,   99.23,    8.65,    3.31
